"KNOT","A","B1","B2","B3","SEX","AGE","PERCENTILE","CHART"
72,9.08,0.258,-0.00471,0.000133,"M","0-36 mos",50,"wt x length"
90,13,0.218,0.00248,0.000103,"M","0-36 mos",50,"wt x length"
49,3.29,0.104,0.0119,-0.000255,"F","0-36 mos",50,"wt x length"
72,8.89,0.248,-0.00567,0.000181,"F","0-36 mos",50,"wt x length"
90,12.6,0.22,0.0041,-2.34e-05,"F","0-36 mos",50,"wt x length"
49,3.5,0.164,0.00904,-0.000196,"M","0-36 mos",75,"wt x length"
72,9.66,0.269,-0.00448,0.000116,"M","0-36 mos",75,"wt x length"
90,13.7,0.22,0.00179,0.000133,"M","0-36 mos",75,"wt x length"
49,3.59,0.126,0.0112,-0.000247,"F","0-36 mos",75,"wt x length"
72,9.43,0.251,-0.0058,0.000195,"F","0-36 mos",75,"wt x length"
90,13.2,0.232,0.00473,-6.01e-05,"F","0-36 mos",75,"wt x length"
49,3.73,0.192,0.00813,-0.000184,"M","0-36 mos",90,"wt x length"
72,10.2,0.274,-0.00456,0.000118,"M","0-36 mos",90,"wt x length"
90,14.4,0.225,0.00181,0.000134,"M","0-36 mos",90,"wt x length"
49,3.72,0.171,0.00886,-0.000202,"F","0-36 mos",90,"wt x length"
72,9.89,0.259,-0.00505,0.000163,"F","0-36 mos",90,"wt x length"
90,13.9,0.235,0.00374,4.32e-05,"F","0-36 mos",90,"wt x length"
49,4.04,0.161,0.0104,-0.000228,"M","0-36 mos",95,"wt x length"
72,10.5,0.28,-0.00527,0.000145,"M","0-36 mos",95,"wt x length"
90,14.7,0.231,0.00255,6.41e-05,"M","0-36 mos",95,"wt x length"
49,3.71,0.22,0.00593,-0.000143,"F","0-36 mos",95,"wt x length"
72,10.2,0.265,-0.00397,0.000102,"F","0-36 mos",95,"wt x length"
90,14.2,0.221,0.00156,0.000404,"F","0-36 mos",95,"wt x length"
0,32.6,2.62,-0.258,0.0117,"M","0-36 mos",5,"hc x age"
6,41.5,0.787,-0.0473,0.00123,"M","0-36 mos",5,"hc x age"
