cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd,tlag1.mean,tlag1.median,tlag1.sd
11,false,Continue,469.1708462162469,18,2.70563,0.685228558646308,0.772508192062378,0.05469359353269285,0.05149732254743576,0.04791100718975068,0.00034466229695030704,75.98383891582489,71.99678206443787,512.0141729921443,1.622708288828532,1.142204761505127,1.5156885468850991
12,false,Continue,467.87286855824055,18,2.70563,0.6807841142018636,0.772508192062378,0.053362783095521574,0.05149732254743576,0.04791100718975068,0.00034466229695030704,75.48383891582489,71.99678206443787,475.19068875368805,1.622708288828532,1.142204761505127,1.515688546885099
13,false,Continue,467.76569205329986,18,2.70563,0.6718952253129747,0.7585189151763917,0.051328613201571144,0.05149732254743576,0.04791100718975068,0.00034466229695030704,75.48383891582489,71.99678206443787,475.19068875368805,1.622708288828532,1.142204761505127,1.515688546885099
14,false,Continue,467.55269904674753,19,2.70563,0.6693957368951092,0.7219434547424317,0.04788461387282032,0.05120278159819151,0.045997455120086676,0.0003271627246090312,76.61687760604055,75.47713279724121,473.1829628421367,1.5762842278731497,1.019418716430664,1.4724323028898962
15,false,Continue,467.0516013059242,19,2.70563,0.6609746842635303,0.7219434547424317,0.0478984852542565,0.05120278159819151,0.045997455120086676,0.0003271627246090312,77.09056181656688,75.47713279724121,506.84081716075553,1.5552315962942025,1.019418716430664,1.517992604285781
16,false,Continue,466.9747834799428,19,2.70563,0.6525536316319513,0.7219434547424317,0.04847376014446461,0.05120278159819151,0.045997455120086676,0.0003271627246090312,77.09056181656688,75.47713279724121,506.84081716075553,1.5552315962942025,1.019418716430664,1.517992604285781
17,false,Continue,466.9747834799428,19,2.70563,0.6525536316319513,0.7219434547424317,0.04847376014446461,0.05120278159819151,0.045997455120086676,0.0003271627246090312,77.09056181656688,75.47713279724121,506.84081716075553,1.5552315962942025,1.019418716430664,1.517992604285781
18,false,Continue,457.14617367390497,18,2.67222,0.6478540886773003,0.6867858982086181,0.0477975421077912,0.05066696640253068,0.047862801885604864,0.0003349227069417933,77.31690239906311,75.47713279724121,601.3284478144014,1.4572518719567196,0.9389569759368896,1.5219921836129078
19,false,Continue,454.9621086423391,19,2.60705,0.6399220526845832,0.624404945373535,0.04561271222794072,0.051463307913980995,0.049824559259414675,0.0003283649261437919,76.3800355007774,75.47713279724121,640.060594663267,1.5552315962942025,1.019418716430664,1.5459867410960835
20,false,Continue,453.2423928954894,19,2.60705,0.6420273158424777,0.624404945373535,0.044390950946073954,0.05120278159819152,0.049824559259414675,0.00030784528689469285,76.3800355007774,75.47713279724121,640.060594663267,1.5236526489257811,1.019418716430664,1.5002076737275483
