"id","time","out","outeq","state","state_index","spp_index"
"21",25.9,116.230723852285,1,537.050271461683,2,0
"21",27.3,139.664654668596,1,0,0,0
"21",27.3,139.664654668596,1,1256.98189201736,1,0
"21",27.3,139.664654668596,1,617.994357822965,2,0
"21",27.8,133.038612748303,1,0,0,0
"21",27.8,133.038612748303,1,1197.34751473473,1,0
"21",27.8,133.038612748303,1,653.78409270999,2,0
"21",29,121.04196623897,1,0,0,0
"21",29,121.04196623897,1,1089.37769615073,1,0
"21",29,121.04196623897,1,708.562054027174,2,0
"21",29,121.04196623897,1,0,0,0
"21",29,121.04196623897,1,1089.37769615073,1,0
"21",29,121.04196623897,1,708.562054027174,2,0
"21",29.75,115.54856908762,1,0,0,0
"21",29.75,115.54856908762,1,1039.93712178858,1,0
"21",29.75,115.54856908762,1,726.976981347421,2,0
"21",32,104.380251864236,1,0,0,0
"21",32,104.380251864236,1,939.422266778121,1,0
"21",32,104.380251864236,1,741.295833466881,2,0
"22",24.5,38.6298637875052,1,0,0,0
"22",24.5,38.6298637875052,1,347.668774087547,1,0
"22",24.5,38.6298637875052,1,298.035247268305,2,0
"22",24.8,83.6114584539572,1,0,0,0
"22",24.8,83.6114584539572,1,752.503126085614,1,0
"22",24.8,83.6114584539572,1,306.758485422218,2,0
"22",25.5,140.32141663658,1,0,0,0
"22",25.5,140.32141663658,1,1262.89274972922,1,0
"22",25.5,140.32141663658,1,394.729137706478,2,0
"22",26,131.119427317789,1,0,0,0
"22",26,131.119427317789,1,1180.0748458601,1,0
"22",26,131.119427317789,1,453.821144347717,2,0
"22",31,90.7685129347638,1,0,0,0
"22",31,90.7685129347638,1,816.916616412875,1,0
"22",31,90.7685129347638,1,631.766352521024,2,0
"22",31,90.7685129347638,1,0,0,0
"22",31,90.7685129347638,1,816.916616412875,1,0
"22",31,90.7685129347638,1,631.766352521024,2,0
"22",47.5,61.2004318689655,1,0,0,0
"22",47.5,61.2004318689655,1,550.803886820689,1,0
"22",47.5,61.2004318689655,1,472.139283379452,2,0
"22",49.25,91.023713105017,1,0,0,0
"22",49.25,91.023713105017,1,819.213417945153,1,0
"22",49.25,91.023713105017,1,504.616959431009,2,0
"22",55,70.7795826452237,1,0,0,0
"22",55,70.7795826452237,1,637.016243807014,1,0
"22",55,70.7795826452237,1,528.370321738057,2,0
"23",21.6,20.5257782946295,1,0,0,0
"23",21.6,20.5257782946295,1,184.732004651666,1,0
"23",21.6,20.5257782946295,1,158.332783416931,2,0
"23",22.3,55.7083131905019,1,0,0,0
"23",22.3,55.7083131905019,1,501.374818714517,1,0
"23",22.3,55.7083131905019,1,180.876977641438,2,0
"23",23.75,47.3707473163243,1,0,0,0
"23",23.75,47.3707473163243,1,426.336725846919,1,0
